REGULATOR	TARGET
YMR182C	YIL117C
YMR182C	YIL118W
YMR182C	YIL119C
YMR182C	YIL133C
YMR182C	YJL036W
YMR182C	YJL042W
YMR182C	YJL077W-A
YMR182C	YJR159W
YMR182C	YKL035W
YMR182C	YKL037W
YMR182C	YKL062W
YMR182C	YKL063C
YMR182C	YKL091C
YMR182C	YKL150W
YMR182C	YKL151C
YMR182C	YKR040C
YMR182C	YKR042W
YMR182C	YLR081W
YMR182C	YLR176C
YMR182C	YLR177W
YMR182C	YLR258W
YMR182C	YML082W
YMR182C	YML083C
YMR182C	YML100W
YMR182C	YML100W-A
YMR182C	YML101C
YMR182C	YMR017W
YMR182C	YMR105C
YMR182C	YMR105W-A
YMR182C	YMR181C
YMR182C	YMR194C-A
YMR182C	YMR226C
YMR182C	YMR244C-A
YMR182C	YMR246W
YMR182C	YMR265C
YMR182C	YMR266W
YMR182C	YNL097C-B
YMR182C	YNL097W-A
YMR182C	YNL098C
YMR182C	YNR013C
YMR182C	YNR014W
YMR182C	YNR028W
YMR182C	YNR073C
YMR182C	YOL014W
YMR182C	YOR107W
YMR182C	YOR134W
YMR182C	YOR246C
YMR182C	YOR247W
YMR182C	YOR273C
YMR182C	YOR298C-A
YMR182C	YOR299W
YMR182C	YOR317W
YMR182C	YPL058C
YMR182C	YPL062W
YMR182C	YPL230W
YMR182C	YPR013C
YMR182C	YPR063C
YMR182C	YPR064W
YMR182C	YPR159C-A
YMR182C	YPR160W
YGL162W	YJL216C
YGL162W	YFR033C
YGL162W	YDR043C
YGL162W	YKL086W
YGL162W	YOR313C
YGL162W	YGR032W
YGL162W	YDR441C
YGL162W	YML083C
YGL162W	YOR303W
YGL162W	YAR042W
YGL162W	YJL189W
YGL162W	YDR510W
YGL162W	YGL163C
YGL162W	YBR069C
YGL162W	DPI8
YGL162W	YGR035C
YGL162W	YBL099W
YGL162W	YOR178C
YGL162W	YBL029C-A
YGL162W	YBR203W
YGL162W	YKL109W
YGL162W	YJL029C
YGL162W	YHR144C
YGL162W	YNL268W
YGL162W	YJR121W
YGL162W	YLR344W
YGL162W	YOR211C
YGL162W	YOR152C
YGL162W	YIL116W
YGL162W	YLR113W
YGL162W	YIL101C
YGL162W	YER158C
YGL162W	YKL216W
YGL162W	YMR056C
YGL162W	YOL121C
YGL162W	YMR018W
YGL162W	YNL178W
YGL162W	YER133W
YGL162W	YDR247W
YGL162W	YKL096W
YGL162W	YDR259C
YGL162W	YDL048C
YGL162W	YPR156C
YGL162W	YBR202W
YGL162W	YPL156C
YGL162W	YMR203W
YGL162W	YPL026C
YGL162W	YCR010C
YGL162W	YAR035W
YGL162W	YLR023C
YGL162W	YDR047W
YGL162W	YFR018C
YGL162W	YDR385W
YGL162W	YMR038C
YGL162W	YOR063W
YGL162W	YGL096W
YGL162W	YDR046C
YGL162W	YCR061W
YGL162W	YBR240C
YGL162W	YLR413W
YGL162W	YIL119C
YGL162W	YOR179C
YGL162W	YJR151C
YGL162W	YJL151C
YGL162W	YGL146C
YGL162W	YLR139C
YGL162W	YJR045C
YGL162W	YMR145C
YGL162W	YNL231C
YGL162W	YKL217W
YGL162W	YGL189C
YGL162W	YKL085W
YGL162W	YFL021W
YGL162W	YMR015C
YGL162W	YPL017C
YGL162W	YPL135W
YGL162W	YEL036C
YGL162W	YOR212W
YGL162W	YCR033W
YGL162W	YOR317W
YGL162W	YGR254W
YGL162W	YBL063W
YGL162W	YDR342C
YGL162W	YER063W
YGL162W	YMR123W
YGL162W	YDL049C
YGL162W	YER159C
YGL162W	YHR007C
YGL162W	YGL045W
YGL162W	YEL043W
YGL162W	YLL052C
YGL162W	YOR153W
YGL162W	YHR080C
YGL162W	YMR173W
YGL162W	YDL173W
YGL162W	YKR041W
YGL162W	YMR011W
YGL162W	YPR065W
YGL162W	YJL089W
YGL162W	YDR309C
YGL162W	YOR348C
YGL162W	YBR112C
YGL162W	YJL045W
YGL162W	YPL111W
YGL162W	YLR256W
YGL162W	YOR319W
YGL162W	YER145C
YGL162W	MIN7
YGL162W	YKL043W
YGL162W	YIL122W
